OrderId,OrderDate,OrderJustification,CollectionNames,CollectionOwnerNames,CollectionOwnerEmails,RequestorName,RequestorUsername,RequestorEmail,TermsOfUse,Usage,DeliveryTargetID,DeliveryTargetName,DeliveryTargetLocation,DeliveryTargetMethod,DeliveryTargetFormat,CostCenter,LastComment,OrderStatus,FulfillmentStatus,FulfillmentComment,AccessId,AccessStatus,WithdrawStatus,WithdrawComment
64eed7aa-23ab-470c-90b6-aa16424af6c5,2024-07-16T19:57:30.603Z,Need access,Marketing Customer Data,Scott Hayes;shayes@informatica.com,,Mara Jade,mjade_reinvent,mjade@informatica.com,None;Personally Identifiable Information (PII) Data Terms of Use,Marketing,b960de16-d4cd-4e7b-a990-e0ce975ff6db,Snowflake,https://informaticapartner.snowflakecomputing.com/,Web Link,Table,,,SUCCESS,FULFILLED,"Order Fullfilled. Access the Assets (while using the ""NSEN Marketing Data"" Role) at: https://app.snowflake.com/us-west-2/eeb76041/#/data/databases/NSEN/schemas/NSEN",62a62450-4bd9-48a2-84fb-c3c663e1f054,SUCCESS_WITHDRAWN,WITHDRAWN,Access withdrawn
582be791-4fd0-4051-b739-95fa15e542ff,2024-07-16T20:24:54.177Z,Needed for my new project,Marketing Customer Data,Scott Hayes;shayes@informatica.com,,Mara Jade,mjade_reinvent,mjade@informatica.com,Personally Identifiable Information (PII) Data Terms of Use,Operation,b960de16-d4cd-4e7b-a990-e0ce975ff6db,Snowflake,https://informaticapartner.snowflakecomputing.com/,Web Link,Table,,,SUCCESS,FULFILLED,"Order Fullfilled. Access the Assets (while using the ""NSEN Marketing Data"" Role) at: https://app.snowflake.com/us-west-2/eeb76041/#/data/databases/NSEN/schemas/NSEN",ac6073dd-b14e-472c-8304-a308e92af70c,SUCCESS_WITHDRAWN,WITHDRAWN,Access withdrawn
3dde4a1b-a259-4e61-bad3-31057f30fe0a,2024-07-19T13:51:21.558Z,Needed for my new project,Analytical Marketing Customer Data,Scott Hayes;shayes@informatica.com,,Mara Jade,mjade_reinvent,mjade@informatica.com,None;Public Domain Data Terms of Use,Analytics,7bc874b1-1e59-4c89-b1eb-e4f2e4e9cf3f,Oracle Cloud,https://GDDCDC5B5DB156E-CDGC.adb.us-ashburn-1.oraclecloudapps.com/ords/sql-developer,SQL,Table,,,SUCCESS,FULFILLED,Order Fullfilled. Access the Assets (within the NSEN_MASKED Schema) at: https://GDDCDC5B5DB156E-CDGC.adb.us-ashburn-1.oraclecloudapps.com/ords/sql-developer,177dd64e-8f6b-4f5e-b4dc-68e364fb43bb,SUCCESS_WITHDRAWN,WITHDRAWN,Access withdrawn
32c0b10e-63b2-4477-9f8a-a4aa7f58a354,2024-07-19T14:37:58.453Z,Needed for my new project,Marketing Customer Data,Scott Hayes;shayes@informatica.com,,Mara Jade,mjade_reinvent,mjade@informatica.com,None;Personally Identifiable Information (PII) Data Terms of Use,Analytics,b960de16-d4cd-4e7b-a990-e0ce975ff6db,Snowflake,https://informaticapartner.snowflakecomputing.com/,Web Link,Table,,,SUCCESS,FULFILLED,"Order Fullfilled. Access the Assets (while using the ""NSEN Marketing Data (Secure)"" Role) at: https://app.snowflake.com/us-west-2/eeb76041/#/data/databases/NSEN/schemas/NSEN",,,,
eb8b3732-856c-4f69-981a-346f36a80c23,2024-07-19T16:52:16.282Z,Needed for project Jedi,Marketing Customer Data,Scott Hayes;shayes@informatica.com,,Mara Jade,mjade_reinvent,mjade@informatica.com,Personally Identifiable Information (PII) Data Terms of Use,Analytics,b960de16-d4cd-4e7b-a990-e0ce975ff6db,Snowflake,https://informaticapartner.snowflakecomputing.com/,Web Link,Table,,,SUCCESS,FULFILLED,"Order Fullfilled. Access the Assets (while using the ""NSEN Marketing Data (Secure)"" Role) at: https://app.snowflake.com/us-west-2/eeb76041/#/data/databases/NSEN/schemas/NSEN",,,,
29e6aad9-46bf-4d29-872c-74073796d522,2024-07-22T20:41:00.271Z,Needed for project Jedi,Marketing Customer Data,Scott Hayes;shayes@informatica.com,,Mara Jade,mjade_reinvent,mjade@informatica.com,None;Personally Identifiable Information (PII) Data Terms of Use,Analytics,b960de16-d4cd-4e7b-a990-e0ce975ff6db,Snowflake,https://informaticapartner.snowflakecomputing.com/,Web Link,Table,,,SUCCESS,FULFILLED,"Order Fullfilled. Access the Assets (while using the ""NSEN Marketing Data (Secure)"" Role) at: https://app.snowflake.com/us-west-2/eeb76041/#/data/databases/NSEN/schemas/NSEN",affbc768-80da-4bf8-80e9-5b4ca07e5250,SUCCESS_WITHDRAWN,WITHDRAWN,Access withdrawn
47554cc0-a5e3-42a4-bce9-ef862864e045,2024-07-22T21:02:04.686Z,Needed for project Jedi,Marketing Customer Data,Scott Hayes;shayes@informatica.com,,Mara Jade,mjade_reinvent,mjade@informatica.com,Personally Identifiable Information (PII) Data Terms of Use,Analytics,0c5cb47a-8ea8-424e-bacf-45973b29c016,Oracle Cloud,https://GDDCDC5B5DB156E-CDGC.adb.us-ashburn-1.oraclecloudapps.com/ords/sql-developer,SQL,Table,,,SUCCESS,FULFILLED,Order Fullfilled. Access the Assets (within the NSEN_MASKED Schema) at: https://GDDCDC5B5DB156E-CDGC.adb.us-ashburn-1.oraclecloudapps.com/ords/sql-developer,3391db8e-aed4-4970-a208-3e2781079c3f,SUCCESS_WITHDRAWN,WITHDRAWN,Access withdrawn
100b2d4e-9772-45eb-a8ce-75b5471939f4,2024-07-22T21:25:55.848Z,Needed for project Jedi,Marketing Customer Data,Scott Hayes;shayes@informatica.com,,Mara Jade,mjade_reinvent,mjade@informatica.com,Personally Identifiable Information (PII) Data Terms of Use,Marketing,0c5cb47a-8ea8-424e-bacf-45973b29c016,Oracle Cloud,https://GDDCDC5B5DB156E-CDGC.adb.us-ashburn-1.oraclecloudapps.com/ords/sql-developer,SQL,Table,,,SUCCESS,FULFILLED,Order Fullfilled. Access the Assets (within the NSEN Schema) at: https://GDDCDC5B5DB156E-CDGC.adb.us-ashburn-1.oraclecloudapps.com/ords/sql-developer,db9b8534-4fd7-45d7-b04c-8a48fa667098,SUCCESS_WITHDRAWN,WITHDRAWN,Access withdrawn
85df993b-45be-40c9-b960-21ead56fe85d,2024-07-22T21:32:16.129Z,Needed for project Jedi,Customer Data for Scientists,Scott Hayes;shayes@informatica.com,,Mara Jade,mjade_reinvent,mjade@informatica.com,,Marketing,61657666-e609-4359-9d44-918ac0b78e12,Azure Databricks,https://adb-3507816793016728.8.azuredatabricks.net/,SQL,Table,,,SUCCESS,FULFILLED,Order Fullfilled. Access the Assets within Databricks at: https://adb-3507816793016728.8.azuredatabricks.net/explore/data/presales_unitycatalog/nsen,d839cf71-cc91-45d4-b1b1-31754342bf96,SUCCESS_WITHDRAWN,WITHDRAWN,Access withdrawn
09db0267-c09a-4ac5-b32e-6babc5cd4def,2024-07-22T21:48:28.965Z,Needed for project Jedi,Customer Transactions History,Scott Hayes;shayes@informatica.com,,Mara Jade,mjade_reinvent,mjade@informatica.com,None;Personally Identifiable Information (PII) Data Terms of Use,Marketing,43498c4d-24be-4236-8b0b-20c3565a1dc6,AWS Athena,https://848938471079.signin.aws.amazon.com/console,SQL,Table,,,SUCCESS,FULFILLED,Order Fullfilled. Access the Assets (within Athena) at: https://848938471079.signin.aws.amazon.com/console,253642a0-3520-4237-b3cf-2087dd47af08,SUCCESS_WITHDRAWN,WITHDRAWN,Access withdrawn
fa1b539e-dfda-4d16-9a38-0cd080f73389,2024-07-22T21:53:48.963Z,Needed for project Jedi,NSEN User Data,Scott Hayes;shayes@informatica.com,,Mara Jade,mjade_reinvent,mjade@informatica.com,Personally Identifiable Information (PII) Data Terms of Use,Marketing,13b57a20-52ee-4f85-9d26-b2ec816974a0,Azure Databricks,https://adb-3507816793016728.8.azuredatabricks.net/,SQL,Table,,,SUCCESS,FULFILLED,Created Tables ns_rwd_user_20240722215439 for user haystraw@yahoo.com. Find data here: https://adb-3507816793016728.8.azuredatabricks.net/explore/data/presales_unitycatalog/temp,,,,
dd08decb-948a-4215-b5a5-478b1ea0b8d7,2024-07-22T22:01:03.378Z,Needed for project Jedi,NSEN User Data,Scott Hayes;shayes@informatica.com,,Mara Jade,mjade_reinvent,mjade@informatica.com,None;Personally Identifiable Information (PII) Data Terms of Use,Marketing,13b57a20-52ee-4f85-9d26-b2ec816974a0,Azure Databricks,https://adb-3507816793016728.8.azuredatabricks.net/,SQL,Table,,,SUCCESS,FULFILLED,Created Tables ns_rwd_user_20240722220153 for user haystraw@yahoo.com. Find data here: https://adb-3507816793016728.8.azuredatabricks.net/explore/data/presales_unitycatalog/temp,,,,
a3097109-f178-4461-ab0f-6c73dbaeb733,2024-07-22T22:08:12.535Z,Needed for project Jedi,NSEN User Data,Scott Hayes;shayes@informatica.com,,Mara Jade,mjade_reinvent,mjade@informatica.com,Personally Identifiable Information (PII) Data Terms of Use,Marketing,13b57a20-52ee-4f85-9d26-b2ec816974a0,Azure Databricks,https://adb-3507816793016728.8.azuredatabricks.net/,SQL,Table,,,SUCCESS,FULFILLED,Created Tables ns_rwd_user_20240722220901 for user haystraw@yahoo.com. Find data here: https://adb-3507816793016728.8.azuredatabricks.net/explore/data/presales_unitycatalog/temp,,,,
